timestamp,rx_bytes,tx_bytes,rx_packets,tx_packets
16:34:33,169445018,169584189,173345,173383
16:34:34,164961501,163638618,169318,168029
16:34:35,158024986,157810687,162141,161963
16:34:36,158078643,157811077,162191,162013
16:34:37,135344720,135088700,138840,138637
16:34:38,181228498,180545776,186023,185299
16:34:39,28064403,26956028,28745,27657
16:34:40,10241751,10063598,10714,10551
16:34:41,153323471,153581599,157386,157486
16:34:42,169344045,168030398,173728,172416
16:34:43,136398481,136824231,140047,140390
16:34:44,185614691,185127339,190398,189856
16:34:45,130362733,129732901,133832,133202
16:34:46,154413018,154441603,158505,158406
16:34:47,160571509,161073281,164769,165219
16:34:48,164283878,164526966,169225,169170
16:34:49,160375882,160634015,164744,164788
16:34:50,157589370,156227873,162180,160325
16:34:51,173559474,173420006,177989,177436
16:34:52,138642615,139494930,142351,143071
16:34:53,146286614,147073066,150205,150965
16:34:54,150780998,151093307,154774,154992
16:34:55,144499585,145285586,148338,149021
16:34:56,143261504,141508280,146532,144629
16:34:57,153472369,152159092,157474,156132
16:34:58,158025112,157809931,162158,161854
16:34:59,158133107,157810754,162340,161942
16:35:00,187202374,187746228,192116,192229
16:35:01,149899606,150970132,153898,154786
16:35:02,165543322,166287310,169955,170648
16:35:03,158025399,157810764,162199,161973
16:35:04,181230322,181435255,186089,186195
16:35:05,164434376,165747427,168837,169976
16:35:07,168193613,168061990,172578,172414
16:35:08,179224131,179132816,184008,183712
16:35:09,158132734,157811702,162264,162065
16:35:10,158078872,158171161,162216,162279
16:35:11,157720303,158170410,161849,162178
16:35:12,150326700,151536028,154269,155345
16:35:13,162587871,163373512,166953,167572
16:35:14,158132456,157810202,162250,161867
16:35:15,163740001,162775686,167961,167585
16:35:16,149780101,150565528,153823,154414
16:35:17,163213797,163482920,167568,167614
16:35:18,152944560,152148506,156924,156072
16:35:19,158079835,157810410,162341,161910
16:35:20,167689482,167332278,172029,171689
16:35:21,139060247,137612704,142455,141225
16:35:22,132776463,131761868,136323,135215
16:35:23,147362907,146190646,151213,149978
16:35:24,144337720,144069175,148210,147896
16:35:25,169436199,169190253,173892,173553
16:35:26,145666592,144251627,149764,148096
16:35:27,175879596,175485434,180450,179527
16:35:28,157265800,156997296,161383,161071
