#Time        gpu     sm    mem    enc    dec    jpg    ofa  rxpci  txpci 
#HH:MM:SS    Idx      %      %      %      %      %      %   MB/s   MB/s 
 19:46:50      0     86     54      0      0      0      0   1493    245 
 19:46:51      0     87     69      0      0      0      0     15      5 
 19:46:52      0     89     26      0      0      0      0     13      6 
 19:46:53      0    100     65      0      0      0      0    674      6 
 19:46:54      0    100     87      0      0      0      0   1243   1483 
 19:46:55      0    100     81      0      0      0      0   1189    129 
 19:46:56      0    100     67      0      0      0      0   1009    253 
 19:46:57      0     43      3      0      0      0      0     18      6 
 19:46:58      0     98     55      0      0      0      0      0      0 
 19:46:59      0    100     88      0      0      0      0    555   1404 
 19:47:00      0    100     65      0      0      0      0   1009    171 
 19:47:01      0    100     64      0      0      0      0   1240    177 
 19:47:02      0     99     64      0      0      0      0   1533    198 
 19:47:03      0     97     62      0      0      0      0   1654    236 
 19:47:04      0     89     62      0      0      0      0     15      4 
 19:47:05      0     99     25      0      0      0      0     18      6 
 19:47:07      0    100     80      0      0      0      0     22      7 
 19:47:08      0     99     55      0      0      0      0   1936   1112 
 19:47:09      0    100     81      0      0      0      0   2656    481 
 19:47:10      0    100     74      0      0      0      0   1373    146 
 19:47:11      0    100     69      0      0      0      0   1175    188 
#Time        gpu     sm    mem    enc    dec    jpg    ofa  rxpci  txpci 
#HH:MM:SS    Idx      %      %      %      %      %      %   MB/s   MB/s 
 19:47:12      0     99     59      0      0      0      0   1499    146 
 19:47:13      0    100     62      0      0      0      0   1536    200 
 19:47:14      0     99     60      0      0      0      0   1582    197 
 19:47:15      0     88     76      0      0      0      0   1631    235 
 19:47:16      0     96     19      0      0      0      0     12      4 
 19:47:17      0     96     44      0      0      0      0   1427    163 
 19:47:18      0     88     70      0      0      0      0      2      0 
 19:47:19      0    100     71      0      0      0      0   1470    190 
 19:47:20      0     88     21      0      0      0      0     13      4 
 19:47:21      0     87     56      0      0      0      0     14      6 
 19:47:22      0     99     28      0      0      0      0    676      7 
 19:47:23      0    100     87      0      0      0      0   1522   1033 
 19:47:25      0    100     74      0      0      0      0   1331    127 
 19:47:26      0    100     77      0      0      0      0   1328    168 
 19:47:27      0    100     72      0      0      0      0   1448    193 
 19:47:28      0     99     62      0      0      0      0   1486    233 
 19:47:29      0     99     58      0      0      0      0   1603    221 
 19:47:30      0     99     57      0      0      0      0   2683    316 
 19:47:31      0    100     83      0      0      0      0     12    174 
 19:47:32      0     88     15      0      0      0      0     14      5 
 19:47:33      0    100     64      0      0      0      0     23     79 
 19:47:34      0    100     81      0      0      0      0   1200   1309 
 19:47:35      0    100     74      0      0      0      0   1158    152 
 19:47:36      0    100     66      0      0      0      0   1076    166 
 19:47:37      0    100     66      0      0      0      0   1315    154 
 19:47:38      0     99     45      0      0      0      0      0      0 
 19:47:39      0     97     50      0      0      0      0      0      0 
 19:47:40      0    100     74      0      0      0      0   1351    131 
 19:47:41      0     95     59      0      0      0      0   1631    178 
 19:47:43      0     99     62      0      0      0      0   1651    210 
 19:47:44      0     99     60      0      0      0      0   1805    180 
 19:47:45      0     92     80      0      0      0      0     11    104 
 19:47:46      0     88      6      0      0      0      0     15      6 
 19:47:47      0    100     69      0      0      0      0     22      7 
