Wall time,Step,Value
1712263146.9478445,0,24599.0
1712263147.3038843,1,37856.0
1712263147.664992,2,38355.0
1712263148.126829,3,36871.0
1712263148.602332,4,37444.0
1712263149.0602937,5,38488.0
1712263149.5261662,6,35842.0
1712263149.9910145,7,38561.0
1712263150.4473221,8,37848.0
1712263150.9171429,9,37097.0
1712263151.3820598,10,38192.0
1712263151.8664026,11,34634.0
1712263152.340941,12,38082.0
1712263152.81132,13,37474.0
1712263153.2809806,14,38441.0
1712263153.7279854,15,37054.0
1712263153.8557818,16,28207.0
1712263155.1959915,17,38273.0
1712263155.6669548,18,38549.0
1712263156.15286,19,32763.0
1712263156.6071918,20,39332.0
1712263157.0909877,21,38418.0
1712263157.5613313,22,34402.0
1712263158.03096,23,38246.0
1712263158.501002,24,38381.0
1712263158.9773045,25,38800.0
1712263159.4602947,26,33405.0
1712263159.9257739,27,37512.0
1712263160.4067986,28,34140.0
1712263160.8870974,29,34333.0
1712263161.380941,30,32947.0
1712263161.8412533,31,37283.0
1712263162.2880712,32,36882.0
1712263162.3873646,33,38278.0
1712263163.7874787,34,39769.0
1712263164.2713315,35,38391.0
1712263164.7274115,36,37980.0
1712263165.2079368,37,31361.0
1712263165.7009664,38,34725.0
1712263166.165024,39,35413.0
1712263166.6609724,40,37795.0
1712263167.1257987,41,38514.0
1712263167.6069183,42,37622.0
1712263168.0903213,43,34648.0
1712263168.5709894,44,33506.0
1712263169.027452,45,36467.0
1712263169.4973109,46,38030.0
1712263169.9810083,47,37028.0
1712263170.441779,48,38840.0
1712263170.8879187,49,38098.0
1712263171.0074272,50,38576.0
1712263172.4114604,51,38615.0
1712263172.886866,52,35755.0
1712263173.3656626,53,34584.0
1712263173.830986,54,38121.0
1712263174.2918544,55,36652.0
1712263174.7754633,56,34489.0
1712263175.242061,57,38393.0
1712263175.7140849,58,38646.0
1712263176.1809518,59,38272.0
1712263176.64715,60,37004.0
1712263177.1309552,61,35663.0
1712263177.6109552,62,37339.0
1712263178.080417,63,38695.0
1712263178.5568705,64,34889.0
1712263179.0174782,65,33591.0
1712263179.4770527,66,38071.0
1712263179.587666,67,38027.0
1712263180.947903,68,37192.0
1712263181.423941,69,37417.0
1712263181.877333,70,38823.0
1712263182.337814,71,37014.0
1712263182.8302968,72,33653.0
1712263183.3068361,73,38300.0
1712263183.8813848,74,22847.0
1712263184.3319333,75,30869.0
1712263184.8116994,76,32672.0
1712263185.2709515,77,38518.0
1712263185.7517025,78,37542.0
1712263186.2113304,79,35847.0
1712263186.6868014,80,33771.0
1712263187.171283,81,35189.0
1712263187.6380267,82,39071.0
1712263188.0877254,83,38285.0
1712263188.1871989,84,38726.0
1712263189.537398,85,37531.0
1712263190.0510771,86,37978.0
1712263190.5168607,87,37489.0
1712263190.9954119,88,34269.0
1712263191.5009637,89,32694.0
1712263191.9519367,90,33579.0
1712263192.4313188,91,32992.0
1712263192.930906,92,33586.0
1712263193.4002898,93,35822.0
1712263193.8899481,94,34331.0
1712263194.4568272,95,36496.0
1712263194.9409738,96,38019.0
1712263195.4071722,97,33175.0
1712263195.9012513,98,32937.0
1712263196.3809328,99,36122.0
1712263196.8376386,100,32994.0
1712263196.9354837,101,38579.0
1712263198.3021388,102,37806.0
1712263198.7615757,103,37553.0
1712263199.2699108,104,35395.0
1712263199.739634,105,34668.0
1712263200.2116225,106,35697.0
1712263200.6771805,107,38204.0
1712263201.1513362,108,32662.0
1712263201.6171737,109,38134.0
1712263202.097151,110,36497.0
1712263202.5803273,111,33440.0
1712263203.0602975,112,34101.0
1712263203.5371761,113,34814.0
1712263204.0202842,114,33191.0
1712263204.4976206,115,33606.0
1712263204.967324,116,37264.0
1712263205.415804,117,37748.0
1712263205.5473547,118,37998.0
1712263206.8918006,119,37697.0
1712263207.3609648,120,37052.0
1712263207.8522713,121,35076.0
1712263208.3613033,122,33331.0
1712263208.8218715,123,33355.0
1712263209.3109639,124,37449.0
1712263209.7880425,125,33629.0
1712263210.2939563,126,34496.0
1712263210.7658153,127,36897.0
1712263211.2217424,128,35940.0
1712263211.7017431,129,37856.0
1712263212.178676,130,38215.0
1712263212.6510208,131,37028.0
1712263213.130288,132,36866.0
1712263213.6009536,133,37775.0
1712263214.05151,134,36147.0
1712263214.161598,135,34779.0
1712263215.520994,136,35655.0
1712263215.9972336,137,33864.0
1712263216.4618,138,33436.0
1712263216.950287,139,35549.0
1712263217.440285,140,32620.0
1712263217.9109423,141,35207.0
1712263218.3668141,142,37145.0
1712263218.8420215,143,38410.0
1712263219.3168097,144,37336.0
1712263219.8013368,145,36543.0
1712263220.2682843,146,34296.0
1712263220.7503302,147,36830.0
1712263221.205217,148,37927.0
1712263221.700932,149,37965.0
1712263222.1609135,150,36864.0
1712263222.6178496,151,35168.0
1712263222.7173314,152,38286.0
1712263224.06658,153,37023.0
1712263224.5372803,154,37501.0
1712263225.0068996,155,36543.0
1712263225.4771888,156,37649.0
1712263225.9471893,157,38336.0
1712263226.450977,158,36999.0
1712263226.9068577,159,38073.0
1712263227.3909893,160,38077.0
1712263227.868081,161,32816.0
1712263228.3609462,162,33797.0
1712263228.8167984,163,37173.0
1712263229.2909248,164,38047.0
1712263229.77096,165,36591.0
1712263230.2502954,166,35556.0
1712263230.7202895,167,37392.0
1712263231.167991,168,37791.0
1712263231.2673352,169,38208.0
