Wall time,Step,Value
1712350315.966618,183,10242.0
1712350316.4961324,184,11188.0
1712350317.0257478,185,11199.0
1712350317.5558436,186,11887.0
1712350318.096139,187,11276.0
1712350318.6461158,188,11214.0
1712350319.1841922,189,10997.0
1712350319.7509854,190,10757.0
1712350320.2861383,191,12011.0
1712350320.8158464,192,11253.0
1712350321.3557603,193,10978.0
1712350321.894304,194,11196.0
1712350322.4255805,195,11972.0
1712350322.9455047,196,11995.0
1712350323.2537777,197,12130.0
1712350325.0302746,198,11931.0
1712350325.5745597,199,10972.0
1712350326.1061897,200,11324.0
1712350326.644225,201,11481.0
1712350327.1762316,202,11216.0
1712350327.7142382,203,11229.0
1712350328.2461004,204,11229.0
1712350328.7764516,205,11291.0
1712350329.3162816,206,11537.0
1712350329.8558648,207,11162.0
1712350330.3859227,208,11542.0
1712350330.9363225,209,11012.0
1712350331.4762073,210,11297.0
1712350332.0062842,211,11187.0
1712350332.535916,212,11216.0
1712350333.0663445,213,11188.0
1712350333.6029232,214,11251.0
1712350334.1341975,215,11368.0
1712350334.6742482,216,11371.0
1712350335.2060015,217,11188.0
1712350335.7463,218,11535.0
1712350336.2862983,219,11506.0
1712350336.8463662,220,10696.0
1712350337.3863423,221,11194.0
1712350337.9212148,222,11561.0
1712350338.4468272,223,11358.0
1712350338.9764643,224,11191.0
1712350339.5107234,225,11215.0
1712350340.0363684,226,11367.0
1712350340.5710003,227,11493.0
1712350341.0982635,228,11951.0
1712350341.6157954,229,11944.0
1712350341.915629,230,12653.0
1712350343.6957734,231,11913.0
1712350344.234115,232,11550.0
1712350344.7763257,233,11354.0
1712350345.3242526,234,11266.0
1712350345.8645487,235,11496.0
1712350346.4042723,236,11496.0
1712350346.9441674,237,11196.0
1712350347.4845743,238,11194.0
1712350348.04292,239,11199.0
1712350348.596329,240,11379.0
1712350349.1259136,241,11463.0
1712350349.6763873,242,11226.0
1712350350.2059937,243,11149.0
1712350350.7641912,244,10928.0
1712350351.2960198,245,11214.0
1712350351.825974,246,11559.0
1712350352.3741446,247,11202.0
1712350352.9063344,248,11239.0
1712350353.454264,249,11212.0
1712350353.9864204,250,11399.0
1712350354.5168254,251,11232.0
1712350355.0463588,252,11242.0
1712350355.5841463,253,11543.0
1712350356.126653,254,10753.0
1712350356.6642241,255,11197.0
1712350357.2042158,256,11209.0
1712350357.7460043,257,11486.0
1712350358.296379,258,11249.0
1712350358.8259254,259,11246.0
1712350359.3659494,260,11216.0
1712350359.893795,261,11892.0
1712350360.405695,262,11969.0
1712350360.7605696,263,12250.0
1712350362.6103165,264,11787.0
1712350363.171469,265,11739.0
1712350363.7942872,266,8329.0
1712350364.3258889,267,11252.0
1712350364.8762975,268,11510.0
1712350365.414189,269,11252.0
1712350365.9741027,270,10776.0
1712350366.515961,271,11251.0
1712350367.0546553,272,11233.0
1712350367.6141372,273,11251.0
1712350368.1662714,274,10737.0
1712350368.7058964,275,11521.0
1712350369.2463205,276,11230.0
1712350369.793075,277,11250.0
1712350370.3441515,278,11030.0
1712350370.886493,279,11256.0
1712350371.4262564,280,11485.0
1712350371.9663243,281,11238.0
1712350372.4964173,282,11216.0
1712350373.0359335,283,11231.0
1712350373.5862768,284,10795.0
1712350374.1163266,285,11192.0
1712350374.6559713,286,11226.0
1712350375.1858673,287,11556.0
1712350375.7262998,288,11264.0
1712350376.2641022,289,11225.0
1712350376.8162107,290,11264.0
1712350377.3940885,291,11501.0
1712350377.9362516,292,11209.0
1712350378.466497,293,11244.0
1712350379.0259898,294,11907.0
1712350379.525821,295,11897.0
1712350379.8256593,296,12703.0
1712350381.6156478,297,11927.0
1712350382.1351259,298,11788.0
